tokens;labels
['@LuisSalvador', 'firma', '@JaqueAlReyLS', 'en', '@FLMalaga', 'con', '@qproquo', 'http', ':', '/', '/', 't', '.', 'co', '/', 'rVeLFjOInY', '@CsMalaga', '@CsGranada', '@CiudadanosCs'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido']
['@CiudadanosCs', '@Albert_Rivera', 'yo', 'espero', 'que', 'los', 'españoles', 'que', 'respetamos', 'la', 'democracia', 'como', 'tal', 'no', 'votemosun', 'partido', 'republicano', 'con', 'ideas1', '/', '2'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Otros_aspectos', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Te', 'esperamos', 'con', 'el', 'compromiso', 'de', 'nuestro', 'Secretario', 'General', '@sanchezcastejon', 'para', 'El', 'BIERZO', 'http', ':', '/', '/', 't', '.', 'co', '/', 'x84bZmLJLV'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@chacbas', '@HoyPorHoy', '@Albert_Rivera', 'Seria', 'idea', 'luna', 'sanidad', 'gratuita', 'global', '.', '.', 'Pero', 'hay', 'sanidad', 'gratuita', 'para', 'los', 'españoles', 'cuando', 'salimos', '?', '?'];['O', 'O', 'O', 'O', 'O', 'O', 'B-Sanidad', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['José', 'Ignacio', 'Wert', 'Ministro', 'de', 'Educación', 'Cultura', 'y', 'Deportes', 'del', 'Gobierno', 'de', 'España', ',', 'Nuria', 'Riera', 'Con', '.', '.', '.', 'https', ':', '/', '/', 't', '.', 'co', '/', 'Hv1Vp0bQao', 'via', '@change_es'];['B-Educacion', 'I-Educacion', 'I-Educacion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['.', '@AytoAntequera', 'ha', 'pasado', 'en', '4', 'años', 'de', 'recibir', 'avisos', 'de', 'corte', 'd', 'luz', 'por', 'impagos', 'con', '@psoe', 'a', 'renovar', 'luminarias', 'eficientes', 'con', '@PPAntequera'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'I-Economia', 'O', 'O', 'O', 'B-Economia', 'I-Economia', 'I-Economia', 'O', 'O']
['#ConMasFuerza', 'Los', 'resultados', 'de', '@iuandalucia', 'mejorarán', 'en', 'las', 'municipales', '.', '@MailloAntonio', '.', '@agarzon', '@cayo_lara', '@nuet', 'http', ':', '/', '/', 't', '.', 'co', '/', 'pRRsvt37Dr'];['O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'B-Propio_partido', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@FeminismoDgital', '@LinesFoz', '@FozPSOE', '@sanchezcastejon', 'x', 'eso', 'pedimos', 'una', 'ley', 'q', 'proteja', 'a', 'todas', 'las', 'partes', ',', 'sin', 'recovecos', '#GestacionSubrogada'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Otros_aspectos']
['@sanchezcastejon', 'Hoy', 'es', 'un', 'buen', 'día', 'para', 'recomendar', 'un', 'libro', '.', '.', '.', '¿', 'Te', 'animas', '?', '.', '.', '.'];['B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@PSOE', '@mjpartera', '@sanchezcastejon', 'El', 'mismo', 'que', 'tenéis', 'vosotros', '.', 'No', 'se', 'ponga', 'usted', 'tan', 'digno', ',', 'don', 'Pedro', '.'];['B-Propio_partido', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'O']
['@Albert_Rivera', 'esperando', 'q', 'algún', 'día', 'vengas', 'a', 'Zaragoza', 'a', 'firmármelo', '!', 'http', ':', '/', '/', 't', '.', 'co', '/', 'Qxe60jE2M2'];['B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['@AntonioMaestre', '@CiudadanosCs', 'yo', 'la', 'subí', 'en', 'Menéame', 'y', 'los', 'propios', 'simpatizantes', 'de', 'C', ""'"", 's', 'la', 'tumbaron', '.', 'Y', 'todavía', 'niegan', 'la', 'subida', 'del', 'IVA']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Economia', 'I-Economia', 'I-Economia']
['IU', 'denuncia', 'la', 'apuesta', 'del', 'PP', 'por', 'profundizar', 'la', 'privatización', 'en', 'la', 'Educación', 'Superior', '|', 'IZQUIERDA', 'UNIDA', 'http', ':', '/', '/', 't', '.', 'co', '/', 'PVvccGoVmz', 'via', '@iunida'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Educacion', 'I-Educacion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@anguitista', 'converger', 'con', 'un', 'partido', 'que', 'primeramente', 'son', 'ellos', 'quienes', 'no', 'quieren', 'la', 'convergencia', 'con', 'nosotros', ',', '@pagan_gines', '@agarzon'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido']
['@Albert_Rivera', 'solo', 'felicitaros', 'por', 'la', 'no', 'eleccion', 'de', 'Juan', 'Carlos', 'Machuca', 'en', 'Parla', ',', 'no', 'te', 'imaginas', 'lo', 'trepas', 'que', 'es', ',', 'saludos'];['B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['¿', 'Q', 'ha', 'hecho', 'mal', '@UPyD', 'dsd', 'entonces', '?', '¿', 'Pq', 'ya', 'no', 'capitaliza', 'voto', 'desencantados', 'x', 'el', 'sistema', 'partidos', 'actual', '?', '#Reflexion', 'http', ':', '/', '/', 't', '.', 'co', '/', 'GBAta9JAob'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Me', 'firma', 'el', 'libro', '@marianorajoy', '?', '?', '#FelizDiaDelLibro', 'son', 'unos', 'recibís', 'que', 'le', 'quedaron', 'pendientes', 'http', ':', '/', '/', 't', '.', 'co', '/', 'x4X6GtoOYu'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Economia', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@MGFolch', '@PPopular', 'Así', 'debe', 'se', 'ser', 'además', 'lo', 'hacen', 'con', 'unas', 'llamadas', 'de', 'teléfono', 'y', 'una', 'buena', 'comilona', 'o', 'cena', 'que', 'pagamos', 'los', 'españoles'];['O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@Kelpie75', 'olvídate', 'de', 'podemos', 'y', 'de', 'sus', 'dirigentes', 'porfa', '.', 'La', 'convergencia', 'se', 'da', 'por', 'abajo', ',', 'no', 'por', 'arriba', '@pagan_gines', '@agarzon'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O']
['@martalopeza', '@GSubrogada', '@sanchezcastejon', 'yo', 'le', 'presenté', 'a', 'mis', 'hijas', 'en', 'Plasencia', 'y', 'tb', 'me', 'dijo', 'q', 'iba', 'a', 'hacer', 'algo', ',', 'pero', 'me', 'temo', 'q', '.', '.', '.', '.'];['O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ayer', 'en', 'el', 'Congreso', 'reunidos', 'con', '@PSOE', 'expusimos', 'proyecto', '#TaxiUrbanSocialCity', 'para', 'una', '#SmartSocialCity', '.', '#ClaroQueSí', 'http', ':', '/', '/', 't', '.', 'co', '/', 'wNTGZTOPQZ'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Economia', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['@agarzon', '@vocalcbaza', 'tenías', 'que', 'decir', '""', 'contar', 'con', 'nosotros', 'y', 'nosotras', '""', 'como', 'has', 'dicho', 'más', 'de', 'una', 'vez', '.', 'A', 'lo', 'que', 'llegamos', '!', '!', '!']";['O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@Albert_Rivera', '@CiudadanosCs', 'Estoy', 'segura', 'd', 'q', 'estais', 'muy', 'ocupados', ',', 'pero', 'agradeceria', 'una', 'respuesta', 'a', 'mi', 'twit', 'd', 'ayer', '.', '.', '.', 'acaso', 'no', 'hay', 'nadie', 'ahi', '?'];['B-Propio_partido', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@Kelpie75', 'pues', 'caro', 'que', 'pecan', 'de', 'adanismo', 'y', 'muchas', 'de', 'las', 'nuestras', 'también', 'de', 'sectarismo', ',', 'compartimos', 'el', 'carrillismo', '@pagan_gines', '@agarzon'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O']
['@nieveslazurda', '@ccifuentes', '@PPopular', 'Las', 'privatizaciones', 'crean', 'paro', 'y', 'miseria', 'mientras', 'políticos', 'corruptos', 'y', 'sus', 'amigos', 'se', 'llenan', 'el', 'bolsillo'];['O', 'O', 'O', 'O', 'O', 'O', 'B-Economia', 'I-Economia', 'I-Economia', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido']
['@Kelpie75', 'y', 'defender', 'la', '@pagan_gines', '@agarzon'];['O', 'O', 'B-Educacion', 'I-Educacion', 'O', 'O']
['@libertaddigital', '@MiriamMuroM', '@ahorapodemos', '@Monolocus', '@VenezuelAeLibre', '@periodicovzlano', 'Venezuela', 'fue', 'el', 'origen', 'de', 'Podemos', 'y', 'será', 'su', 'fin', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O']
['@sanchezcastejon', 'moze', 'no', 'paras', 'de', 'meter', 'la', 'pata', '.', '.', '.', '.', '.'];['O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O']
['@Roberhawk', '@PPopular', 'En', 'Nueva', 'yor', '?', 'Quiénes', ',', 'los', 'mismos', 'que', 'acusan', 'a', '@NicolasMaduro', 'de', 'asesino', '@Pablo_Iglesias_', '?'];['O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O']
['@PPopular', '@Qvixote2015', 'O', 'podemos', 'leer', 'el', 'BOE', 'donde', 'habéis', 'metido', 'el', 'programa', 'de', 'religión', 'en', 'los', 'colegios', '.', 'Eso', 'si', 'queremos', 'tragicomedia', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Educacion', 'I-Educacion', 'I-Educacion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@anguitista', 'exactamente', ',', 'por', 'abajo', ',', 'consultando', 'a', 'las', 'bases', 'y', 'lo', 'que', 'veo', 'por', 'parte', 'de', '@agarzon', 'y', 'otros', 'es', 'todo', 'lo', 'contrario', '@pagan_gines'];['O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Otros_aspectos', 'I-Otros_aspectos', 'I-Otros_aspectos', 'O']
['@cmgorriaran', '@DANIEL_FM_TUIT', '@UPyD', 'lo', 'dicho', ',', 'no', 'me', 'parece', 'que', 'ayude', 'a', 'quitar', 'la', 'imagen', 'de', 'que', 'UPyD', 'desaparece', '.', '.', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O']
['Diez', 'huelgas', 'de', 'Educación', 'en', 'Aragón', 'desde', 'que', 'Wert', 'es', 'ministro', 'http', ':', '/', '/', 't', '.', 'co', '/', 'bFTAhJz1Ru', 'vía', '@eldiarioaragon'];['O', 'O', 'O', 'B-Educacion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Pues', 'habrá', 'que', 'cepillarse', 'a', '#Trillo', 'y', 'a', '#Pujalte', 'no', 'compañeros', '?', '@PPopular'];['O', 'O', 'O', 'B-Propio_partido', 'O', 'B-Propio_partido', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O']
['@JuanMijimenez', '@canarias7', '@PSOE', '@coalicion', 'la', 'GESTION', 'del', '#BarcoRuso', 'es', 'de', 'ministerio', 'y', 'por', 'tanto', 'del', 'estado', 'de', 'la', 'nación', '.'];['O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@sosvzlalibertad', '@PSOE', '@sanchezcastejon', 'para', 'gastarte', 'lo', 'q', 't', 'ahorras', 'en', 'los', 'centimos', 'q', 'sube', 'el', 'pan', 'tienes', 'q', 'comprarte', 'la', 'panaderia'];['O', 'O', 'O', 'O', 'B-Economia', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@iunida', 'yo', 'prefiero', 'tener', 'profesores', 'que', 'cobran', 'tanto', 'si', 'lo', 'hacen', 'bien', 'como', 'si', 'lo', 'hacen', 'mal', '.', 'Y', 'que', 'no', 'necesitan', 'reciclarse', ':', ')'];['O', 'O', 'O', 'O', 'B-Educacion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@anguitista', 'y', 'lo', 'tenemos', '?', 'A', 'ti', 'te', 'hab', 'preguntado', 'si', 'quieres', 'converger', 'con', 'Podemos', '?', 'Porque', 'a', 'mi', 'no', '@agarzon', '@pagan_gines'];['O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@Kelpie75', 'IU', 'nace', 'sabiendo', 'que', 'sola', 'no', 'podía', 'y', 'como', 'seña', 'de', 'identidad', 'la', 'unidad', '@pagan_gines', '@agarzon'];['O', 'B-Propio_partido', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@anguitista', 'totalmente', 'de', 'acuerdo', ',', 'pero', 'no', 'a', 'costa', 'de', 'perder', 'nuestra', 'identidad', 'sino', 'haciendo', 'lo', 'que', 'hemos', 'hecho', '@pagan_gines', '@agarzon'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Conoce', 'la', 'web', 'de', '@ramonmarcos', ',', 'candidato', '@UPyD', 'Presidencia', 'Comunidad', 'Madrid', '.', 'http', ':', '/', '/', 't', '.', 'co', '/', 'KkHYEYZKZc', '#ramonmarcos2015', 'http', ':', '/', '/', 't', '.', 'co', '/', 'fAxiIhjtR0'];['B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@ramonmarcos', '@UPyD', ':', 'Presentamos', 'un', 'programa', 'con', '+', 'de', '400', 'medidas', 'q', 'nos', 'hagan', 'ser', 'decisivos', 'y', 'conseguir', 'un', 'gobierno', 'decente', '#ramonmarcos2015'];['O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@anguitista', 'siempre', ',', 'trabajar', 'y', 'apoyar', 'a', 'la', 'clase', 'trabajadora', '@pagan_gines', '@agarzon'];['O', 'O', 'O', 'O', 'O', 'B-Otros_aspectos', 'I-Otros_aspectos', 'I-Otros_aspectos', 'I-Otros_aspectos', 'I-Otros_aspectos', 'O', 'O']
['@variedades1961', '@cmgorriaran', '@UPyD', 'somos', 'iguales', '?', 'Está', 'seguro', '?', 'Aforamientos', ',', '17', 'sistemas', 'salud', 'y', 'educativos', ',', 'custodia', 'compartida', '.', 'Sigo', '?'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Otros_aspectos', 'O', 'B-Sanidad', 'I-Sanidad', 'I-Sanidad', 'O', 'B-Educacion', 'O', 'B-Otros_aspectos', 'I-Otros_aspectos', 'O', 'O', 'O']
['@anguitista', 'Sí', ',', 'la', 'unidad', 'con', 'la', 'izquierda', ',', 'en', 'todo', 'caso', '.', '@Kelpie75', '@pagan_gines', '@agarzon'];['B-Propio_partido', 'O', 'O', 'O', 'B-Otros_aspectos', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@anguitista', 'me', 'he', 'leido', 'algunos', 'de', 'los', 'documentos', '@agarzon', '@pagan_gines'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O']
"['@Kelpie75', 'y', 'la', 'parte', 'q', 'de', 'boquilla', 'aprobó', '1', 'cosa', 'e', 'hizo', 'otra', 'fue', 'los', 'de', 'las', 'siglas', ';', 'los', 'q', 'participamos', ',', 'Cambiar', 'Madrid', '@agarzon', '@pagan_gines']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O']
['Me', 'gustaría', 'saber', 'si', '@CiudadanosCs', 'se', 'ha', 'planteado', 'la', 'eliminación', 'completa', 'd', 'la', 'Ley', 'del', 'menor', '.', 'Si', 'se', 'comete', 'crimen', 'd', 'adulto', 'se', 'paga', 'como', 'tal'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Otros_aspectos', 'I-Otros_aspectos', 'I-Otros_aspectos', 'I-Otros_aspectos', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['@BomberosGC', '@canarias7', '@PSOE', '@coalicion', 'la', 'autoridad', 'portuaria', 'la', 'dirige', 'CC', 'y', 'es', 'quien', 'decide', 'sacar', 'a', 'pasear', 'una', 'marea', 'negra', '.'];['O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['""', '@Inivelayensa', ':', 'Creo', 'que', '.', '.', '.', 'Vamos', 'a', '.', '.', '.', 'Pienso', 'que', '.', '.', '.', 'Haremos', '.', '.', '.', 'Este', 'lo', 'RT', 'pq', 'me', 'ha', 'hecho', 'gracia', ':', ')', '#Hacemos', '@UPyD', 'http', ':', '/', '/', 't', '.', 'co', '/', '8E1GquWPiS', '""']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Vamos', 'a', 'seguir', 'demostrando', 'que', '@ArucaGomez', 'y', '@CsTresCantos', 'utilizan', 'la', 'marca', 'de', '@CiudadanosCs', 'para', 'conseguir', 'carguitos', '.', 'Farsa'];['O', 'O', 'O', 'O', 'O', 'B-Propio_partido', 'I-Propio_partido', 'I-Propio_partido', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
