text_tokens;tags
['@AntonioMaestre', 'si', 'lo', 'propusiese', '@ahorapodemos', 'o', '@iunida', 'sería', 'titular', 'de', 'portada', 'a', '1', 'columnas', '!', '@CiudadanosCs'];[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@PPopular', 'pero', 'que', 'poca', 'vergüenza', 'teneis', 'degenerados'];[1, 0, 0, 0, 0, 0, 0]
['@LuisSalvador', 'firma', '@JaqueAlReyLS', 'en', '@FLMalaga', 'con', '@qproquo', 'http', ':', '/', '/', 't', '.', 'co', '/', 'rVeLFjOInY', '@CsMalaga', '@CsGranada', '@CiudadanosCs'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
['@CiudadanosCs', '@Albert_Rivera', 'yo', 'espero', 'que', 'los', 'españoles', 'que', 'respetamos', 'la', 'democracia', 'como', 'tal', 'no', 'votemosun', 'partido', 'republicano', 'con', 'ideas1', '/', '1'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['Te', 'esperamos', 'con', 'el', 'compromiso', 'de', 'nuestro', 'Secretario', 'General', '@sanchezcastejon', 'para', 'El', 'BIERZO', 'http', ':', '/', '/', 't', '.', 'co', '/', 'x81bZmLJLV'];[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@chacbas', '@HoyPorHoy', '@Albert_Rivera', 'Seria', 'idea', 'luna', 'sanidad', 'gratuita', 'global', '.', '.', 'Pero', 'hay', 'sanidad', 'gratuita', 'para', 'los', 'españoles', 'cuando', 'salimos', '?', '?'];[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['José', 'Ignacio', 'Wert', 'Ministro', 'de', 'Educación', 'Cultura', 'y', 'Deportes', 'del', 'Gobierno', 'de', 'España', ',', 'Nuria', 'Riera', 'Con', '.', '.', '.', 'https', ':', '/', '/', 't', '.', 'co', '/', 'Hv1Vp0bQao', 'via', '@change_es'];[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['.', '@AytoAntequera', 'ha', 'pasado', 'en', '1', 'años', 'de', 'recibir', 'avisos', 'de', 'corte', 'd', 'luz', 'por', 'impagos', 'con', '@psoe', 'a', 'renovar', 'luminarias', 'eficientes', 'con', '@PPAntequera'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]
['*ConMasFuerza', 'Los', 'resultados', 'de', '@iuandalucia', 'mejorarán', 'en', 'las', 'municipales', '.', '@MailloAntonio', '.', '@agarzon', '@cayo_lara', '@nuet', 'http', ':', '/', '/', 't', '.', 'co', '/', 'pRRsvt17Dr'];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@FeminismoDgital', '@LinesFoz', '@FozPSOE', '@sanchezcastejon', 'x', 'eso', 'pedimos', 'una', 'ley', 'q', 'proteja', 'a', 'todas', 'las', 'partes', ',', 'sin', 'recovecos', '*GestacionSubrogada'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
['@sanchezcastejon', 'Hoy', 'es', 'un', 'buen', 'día', 'para', 'recomendar', 'un', 'libro', '.', '.', '.', '¿', 'Te', 'animas', '?', '.', '.', '.'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@PSOE', '@mjpartera', '@sanchezcastejon', 'El', 'mismo', 'que', 'tenéis', 'vosotros', '.', 'No', 'se', 'ponga', 'usted', 'tan', 'digno', ',', 'don', 'Pedro', '.'];[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
['@Albert_Rivera', 'esperando', 'q', 'algún', 'día', 'vengas', 'a', 'Zaragoza', 'a', 'firmármelo', '!', 'http', ':', '/', '/', 't', '.', 'co', '/', 'Qxe60jE1M1'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@AntonioMaestre', '@CiudadanosCs', 'yo', 'la', 'subí', 'en', 'Menéame', 'y', 'los', 'propios', 'simpatizantes', 'de', 'C', ', 's', 'la', 'tumbaron', '.', 'Y', 'todavía', 'niegan', 'la', 'subida', 'del', 'IVA'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]
['IU', 'denuncia', 'la', 'apuesta', 'del', 'PP', 'por', 'profundizar', 'la', 'privatización', 'en', 'la', 'Educación', 'Superior', '|', 'IZQUIERDA', 'UNIDA', 'http', ':', '/', '/', 't', '.', 'co', '/', 'PVvccGoVmz', 'via', '@iunida'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@anguitista', 'converger', 'con', 'un', 'partido', 'que', 'primeramente', 'son', 'ellos', 'quienes', 'no', 'quieren', 'la', 'convergencia', 'con', 'nosotros', ',', '@pagan_gines', '@agarzon'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
['@Albert_Rivera', 'solo', 'felicitaros', 'por', 'la', 'no', 'eleccion', 'de', 'Juan', 'Carlos', 'Machuca', 'en', 'Parla', ',', 'no', 'te', 'imaginas', 'lo', 'trepas', 'que', 'es', ',', 'saludos'];[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['¿', 'Q', 'ha', 'hecho', 'mal', '@UPyD', 'dsd', 'entonces', '?', '¿', 'Pq', 'ya', 'no', 'capitaliza', 'voto', 'desencantados', 'x', 'el', 'sistema', 'partidos', 'actual', '?', '*Reflexion', 'http', ':', '/', '/', 't', '.', 'co', '/', 'GBAta9JAob'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['Me', 'firma', 'el', 'libro', '@marianorajoy', '?', '?', '*FelizDiaDelLibro', 'son', 'unos', 'recibís', 'que', 'le', 'quedaron', 'pendientes', 'http', ':', '/', '/', 't', '.', 'co', '/', 'x1X6GtoOYu'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@MGFolch', '@PPopular', 'Así', 'debe', 'se', 'ser', 'además', 'lo', 'hacen', 'con', 'unas', 'llamadas', 'de', 'teléfono', 'y', 'una', 'buena', 'comilona', 'o', 'cena', 'que', 'pagamos', 'los', 'españoles'];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@Kelpie71', 'olvídate', 'de', 'podemos', 'y', 'de', 'sus', 'dirigentes', 'porfa', '.', 'La', 'convergencia', 'se', 'da', 'por', 'abajo', ',', 'no', 'por', 'arriba', '@pagan_gines', '@agarzon'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]
['@martalopeza', '@GSubrogada', '@sanchezcastejon', 'yo', 'le', 'presenté', 'a', 'mis', 'hijas', 'en', 'Plasencia', 'y', 'tb', 'me', 'dijo', 'q', 'iba', 'a', 'hacer', 'algo', ',', 'pero', 'me', 'temo', 'q', '.', '.', '.', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['Ayer', 'en', 'el', 'Congreso', 'reunidos', 'con', '@PSOE', 'expusimos', 'proyecto', '*TaxiUrbanSocialCity', 'para', 'una', '*SmartSocialCity', '.', '*ClaroQueSí', 'http', ':', '/', '/', 't', '.', 'co', '/', 'wNTGZTOPQZ'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@agarzon', '@vocalcbaza', 'tenías', 'que', 'decir', '', 'contar', 'con', 'nosotros', 'y', 'nosotras', '', 'como', 'has', 'dicho', 'más', 'de', 'una', 'vez', '.', 'A', 'lo', 'que', 'llegamos', '!', '!', '!'];[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@Albert_Rivera', '@CiudadanosCs', 'Estoy', 'segura', 'd', 'q', 'estais', 'muy', 'ocupados', ',', 'pero', 'agradeceria', 'una', 'respuesta', 'a', 'mi', 'twit', 'd', 'ayer', '.', '.', '.', 'acaso', 'no', 'hay', 'nadie', 'ahi', '?'];[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@Kelpie71', 'pues', 'caro', 'que', 'pecan', 'de', 'adanismo', 'y', 'muchas', 'de', 'las', 'nuestras', 'también', 'de', 'sectarismo', ',', 'compartimos', 'el', 'carrillismo', '@pagan_gines', '@agarzon'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
['@nieveslazurda', '@ccifuentes', '@PPopular', 'Las', 'privatizaciones', 'crean', 'paro', 'y', 'miseria', 'mientras', 'políticos', 'corruptos', 'y', 'sus', 'amigos', 'se', 'llenan', 'el', 'bolsillo'];[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
['@Kelpie71', 'y', 'defender', 'la', '@pagan_gines', '@agarzon'];[0, 0, 1, 1, 0, 0]
['@libertaddigital', '@MiriamMuroM', '@ahorapodemos', '@Monolocus', '@VenezuelAeLibre', '@periodicovzlano', 'Venezuela', 'fue', 'el', 'origen', 'de', 'Podemos', 'y', 'será', 'su', 'fin', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
['@sanchezcastejon', 'moze', 'no', 'paras', 'de', 'meter', 'la', 'pata', '.', '.', '.', '.', '.'];[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]
['@Roberhawk', '@PPopular', 'En', 'Nueva', 'yor', '?', 'Quiénes', ',', 'los', 'mismos', 'que', 'acusan', 'a', '@NicolasMaduro', 'de', 'asesino', '@Pablo_Iglesias_', '?'];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
['@PPopular', '@Qvixote1011', 'O', 'podemos', 'leer', 'el', 'BOE', 'donde', 'habéis', 'metido', 'el', 'programa', 'de', 'religión', 'en', 'los', 'colegios', '.', 'Eso', 'si', 'queremos', 'tragicomedia', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@anguitista', 'exactamente', ',', 'por', 'abajo', ',', 'consultando', 'a', 'las', 'bases', 'y', 'lo', 'que', 'veo', 'por', 'parte', 'de', '@agarzon', 'y', 'otros', 'es', 'todo', 'lo', 'contrario', '@pagan_gines'];[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]
['@cmgorriaran', '@DANIEL_FM_TUIT', '@UPyD', 'lo', 'dicho', ',', 'no', 'me', 'parece', 'que', 'ayude', 'a', 'quitar', 'la', 'imagen', 'de', 'que', 'UPyD', 'desaparece', '.', '.', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]
['Diez', 'huelgas', 'de', 'Educación', 'en', 'Aragón', 'desde', 'que', 'Wert', 'es', 'ministro', 'http', ':', '/', '/', 't', '.', 'co', '/', 'bFTAhJz1Ru', 'vía', '@eldiarioaragon'];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['Pues', 'habrá', 'que', 'cepillarse', 'a', '*Trillo', 'y', 'a', '*Pujalte', 'no', 'compañeros', '?', '@PPopular'];[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]
['@JuanMijimenez', '@canarias7', '@PSOE', '@coalicion', 'la', 'GESTION', 'del', '*BarcoRuso', 'es', 'de', 'ministerio', 'y', 'por', 'tanto', 'del', 'estado', 'de', 'la', 'nación', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@sosvzlalibertad', '@PSOE', '@sanchezcastejon', 'para', 'gastarte', 'lo', 'q', 't', 'ahorras', 'en', 'los', 'centimos', 'q', 'sube', 'el', 'pan', 'tienes', 'q', 'comprarte', 'la', 'panaderia'];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@iunida', 'yo', 'prefiero', 'tener', 'profesores', 'que', 'cobran', 'tanto', 'si', 'lo', 'hacen', 'bien', 'como', 'si', 'lo', 'hacen', 'mal', '.', 'Y', 'que', 'no', 'necesitan', 'reciclarse', ':', ')'];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@anguitista', 'y', 'lo', 'tenemos', '?', 'A', 'ti', 'te', 'hab', 'preguntado', 'si', 'quieres', 'converger', 'con', 'Podemos', '?', 'Porque', 'a', 'mi', 'no', '@agarzon', '@pagan_gines'];[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]
['@Kelpie71', 'IU', 'nace', 'sabiendo', 'que', 'sola', 'no', 'podía', 'y', 'como', 'seña', 'de', 'identidad', 'la', 'unidad', '@pagan_gines', '@agarzon'];[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@anguitista', 'totalmente', 'de', 'acuerdo', ',', 'pero', 'no', 'a', 'costa', 'de', 'perder', 'nuestra', 'identidad', 'sino', 'haciendo', 'lo', 'que', 'hemos', 'hecho', '@pagan_gines', '@agarzon'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
['Conoce', 'la', 'web', 'de', '@ramonmarcos', ',', 'candidato', '@UPyD', 'Presidencia', 'Comunidad', 'Madrid', '.', 'http', ':', '/', '/', 't', '.', 'co', '/', 'KkHYEYZKZc', '*ramonmarcos1011', 'http', ':', '/', '/', 't', '.', 'co', '/', 'fAxiIhjtR0'];[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@ramonmarcos', '@UPyD', ':', 'Presentamos', 'un', 'programa', 'con', '+', 'de', '100', 'medidas', 'q', 'nos', 'hagan', 'ser', 'decisivos', 'y', 'conseguir', 'un', 'gobierno', 'decente', '*ramonmarcos1011'];[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@anguitista', 'siempre', ',', 'trabajar', 'y', 'apoyar', 'a', 'la', 'clase', 'trabajadora', '@pagan_gines', '@agarzon'];[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]
['@variedades1961', '@cmgorriaran', '@UPyD', 'somos', 'iguales', '?', 'Está', 'seguro', '?', 'Aforamientos', ',', '17', 'sistemas', 'salud', 'y', 'educativos', ',', 'custodia', 'compartida', '.', 'Sigo', '?'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0]
['@anguitista', 'Sí', ',', 'la', 'unidad', 'con', 'la', 'izquierda', ',', 'en', 'todo', 'caso', '.', '@Kelpie71', '@pagan_gines', '@agarzon'];[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@anguitista', 'me', 'he', 'leido', 'algunos', 'de', 'los', 'documentos', '@agarzon', '@pagan_gines'];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
['@Kelpie71', 'y', 'la', 'parte', 'q', 'de', 'boquilla', 'aprobó', '1', 'cosa', 'e', 'hizo', 'otra', 'fue', 'los', 'de', 'las', 'siglas', ',', 'los', 'q', 'participamos', ',', 'Cambiar', 'Madrid', '@agarzon', '@pagan_gines'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
['Me', 'gustaría', 'saber', 'si', '@CiudadanosCs', 'se', 'ha', 'planteado', 'la', 'eliminación', 'completa', 'd', 'la', 'Ley', 'del', 'menor', '.', 'Si', 'se', 'comete', 'crimen', 'd', 'adulto', 'se', 'paga', 'como', 'tal'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@BomberosGC', '@canarias7', '@PSOE', '@coalicion', 'la', 'autoridad', 'portuaria', 'la', 'dirige', 'CC', 'y', 'es', 'quien', 'decide', 'sacar', 'a', 'pasear', 'una', 'marea', 'negra', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['', '@Inivelayensa', ':', 'Creo', 'que', '.', '.', '.', 'Vamos', 'a', '.', '.', '.', 'Pienso', 'que', '.', '.', '.', 'Haremos', '.', '.', '.', 'Este', 'lo', 'RT', 'pq', 'me', 'ha', 'hecho', 'gracia', ':', ')', '*Hacemos', '@UPyD', 'http', ':', '/', '/', 't', '.', 'co', '/', '8E1GquWPiS', ''];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['Vamos', 'a', 'seguir', 'demostrando', 'que', '@ArucaGomez', 'y', '@CsTresCantos', 'utilizan', 'la', 'marca', 'de', '@CiudadanosCs', 'para', 'conseguir', 'carguitos', '.', 'Farsa'];[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@jesuspati', '@PedroChamonL', '@UPyD', 'Pues', 'cuando', 'te', 'aburras', 'y', 'te', 'apetezca', 'hacer', 'un', 'reparto', ',', 'ya', 'sabes', 'dónde', 'venir', ',', ')'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['Recomiendo', 'la', 'lectura', 'de', '', 'El', 'Cambio', 'Sensato', '', 'por', '@Albert_Rivera', 'donde', 'hay', '100', 'preguntas', '/', '100', 'respuestas', '*DiaDelLibroCs', 'http', ':', '/', '/', 't', '.', 'co', '/', 'KX8DFxyipz'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UPyD', 'critica', 'la', 'decisión', 'de', 'reducir', 'camas', 'en', 'la', 'Fundación', 'Hospital', 'de', 'Calahorra', 'y', 'pide', 'que', 'se', 'revoque', 'http', ':', '/', '/', 't', '.', 'co', '/', 'kbLU1Q17UC', 'vía', '@upyd'];[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@Kelpie71', 'q', 'es', 'la', 'izquierda', '?', 'lxs', 'q', 'se', 'dicen', 'que', 'lo', 'son', 'como', 'el', 'PSOE', 'o', 'lxs', 'q', 'defienden', 'servicios', 'públicos', '?', '@Susana_Vila', '@pagan_gines', '@agarzon'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]
['*gráficos', '*IRPF', 'de', '@CiudadanosCs', 'perjudica', 'a', 'rentas', 'entre', '16', '.', '000', 'y', '19', '.', '100', '\x80', 'Datos', '@Jaume_Vinas', 'http', ':', '/', '/', 't', '.', 'co', '/', 'hN9dqNjUwy', 'vía', '@CincoDiascom'];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@PPopular', 'pero', 'la', 'población', 'activa', 'bajó', 'en', '117', '.', '100', 'personas', 'y', 'por', 'tanto', 'la', 'tasa', 'de', 'paro', 'SUBE', 'hasta', 'el', '11', ',', '78', '%', '.', 'Dejad', 'de', 'vender', 'humo', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['De', 'esos', '11000', 'menos', 'de', 'par', 'o', ',', 'cuantos', 'indefinidos', ',', 'cuantos', 'de', '8', 'horas', 'al', 'día', '?', '*paro', 'ladrones', 'mentirosos', '@PPopular'];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@anguitista', 'los', 'que', 'defendemos', 'y', 'hemos', 'defendido', 'la', 'clase', 'obrera', ',', 'los', 'que', 'creemos', 'que', 'la', 'unica', 'salida', '@Susana_Vila', '@pagan_gines', '@agarzon'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
['@CiudadanosCs', 'y', '@UPyD', 'se', 'suman', 'en', 'Murcia', 'no', 'pactar', 'con', 'el', '@PPopular', 'pero', 'si', 'con', 'el', 'partido', 'de', 'Chaves', ',', 'Griñan', ',', 'Magdalena', 'Alvarez', 'etc', '.', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['El', 'último', 'libro', 'q', 'he', 'leído', 'es', 'El', 'cambio', 'sensato', '@Albert_Rivera', ',', 'El', 'dilema', 'd', 'España', '@lugaricano', 'y', 'Jaque', 'al', 'rey', '@LuisSalvador', '*DiaDelLibroCs'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@Felipenini', '@lozabest1', '@PaquiVicente', '@ahorapodemos', 'no', 'defiendo', 'a', 'podemos', 'ni', 'siquiera', 'pienso', 'votarles', 'pero', 'lo', 'que', 'es', ',', 'es', 'y', 'lo', 'que', 'no', ',', 'no'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['@LSan61', '@Inivelayensa', '@lozanoirene', '@UPyD', 'todo', 'es', 'mejorable', ',', 'todas', 'las', 'criticas', 'son', 'bien', 'recibidas', 'y', 'cuantos', 'mas', 'arrimemos', 'el', 'hombro', 'mejor'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]
