text_tokens;tags;polarities
"['La', 'verdad', 'es', 'que', 'todo', 'muy', 'bien', ';', 'el', 'servicio', ',', 'la', 'comida', 'y', 'la', 'apariencia', ',', 'todo', 'correcto', '.']";[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['el', 'sitio', 'es', 'muy', 'bonito', 'la', 'comida', 'estupenda', 'y', 'el', 'trato', 'inmejorable', '.'];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Ha', 'sido', 'todo', 'excelente', ',', 'la', 'calidad', ',', 'los', 'tiempos', ',', 'el', 'ambiente', '(', 'quizás', 'demasiado', 'iluminado', ')', 'y', 'el', 'servicio', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['El', 'dulce', 'de', 'leche', 'es', 'divino', '.'];[0, 1, 1, 1, 0, 0, 0];[-1, 1, 1, 1, -1, -1, -1]
['Primera', 'visita', 'a', 'este', 'Restaurante', 'con', 'resultado', 'satisfactorio', '.'];[0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, -1, -1, -1, 1, -1, -1, -1, -1]
['resaturante', 'fantástico', 'con', 'excelente', 'comida', 'y', 'servicio', 'aun', 'mejor', '!!!!'];[1, 0, 0, 0, 1, 0, 1, 0, 0, 0];[1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['tremenda', 'amabilidad', ',', 'es', 'un', 'gustazo', '!'];[0, 1, 0, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1]
['Servicio', 'muy', 'bueno', ',', 'faltan', 'platitos', 'para', 'el', 'pan', ',', 'pero', 'a', 'pesar', 'de', 'eso', ',', 'todo', 'correcto', '.'];[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Estaria', 'bien', 'musica', 'argentina', '.'];[0, 0, 0, 1, 0];[-1, -1, 0, 0, -1]
['Estuve', 'ayer', 'en', 'una', 'comida', 'de', 'negocio', 'con', 'un', 'cliente', 'y', 'tanto', 'el', 'servicio', 'como', 'la', 'calidad', 'de', 'la', 'comida', 'fué', 'excelente', '.'];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Un', 'buen', 'restaurant', ',', 'aunque', 'algo', 'caro', 'para', 'la', 'cantidad', 'de', 'comida', 'que', 'se', 'sirve', 'en', 'el', 'plato', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['La', 'tira', 'de', 'asado', 'normal', ',', 'nada', 'extraordinaria', '.'];[0, 1, 1, 1, 0, 0, 0, 0, 0];[-1, 2, 2, 2, -1, -1, -1, -1, -1]
['Muy', 'bien', 'los', 'postres', 'y', 'el', 'matambre', '.'];[0, 0, 0, 1, 0, 0, 1, 0];[-1, -1, -1, 1, -1, -1, -1, -1]
['Se', 'podria', 'mejorar', 'la', 'iluminación', 'en', 'la', 'planta', 'superior', ',', 'demasiada', 'luz', 'plana', '.'];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Un', 'sitio', 'precioso', ',', 'con', 'un', 'ambiente', 'exquisito', '.'];[0, 1, 0, 0, 0, 0, 1, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1]
['El', 'servicio', 'inmejorable', 'y', 'la', 'comida', 'excepcional', '!!'];[0, 1, 0, 0, 0, 1, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1]
['Exquisitas', 'las', 'ensaladas', 'y', 'la', 'carne', '.'];[0, 0, 1, 0, 0, 1, 0];[-1, -1, 1, -1, -1, -1, -1]
['Abundante', 'comida', '.'];[0, 1, 0];[-1, 1, -1]
['La', 'calidad', 'de', 'las', 'carnes', 'es', 'insuperable', 'y', 'quiero', 'destacar', 'el', 'excelente', 'servicio', 'recibido', '.'];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Si', 'no', 'has', 'probado', 'sus', 'carnes', 'te', 'estás', 'perdiendo', 'algo', 'muy', 'grande', '!'];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]
['Estuve', 'cenando', 'con', 'unos', 'amigos', 'y', 'la', 'comida', 'estuvo', 'riquísima', 'y', 'el', 'trato', 'de', 'las', 'camareras', 'excelente', '.'];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Lo', 'mejor', ':', 'dejarse', 'aconsejar', 'por', 'ellos', 'a', 'la', 'hora', 'de', 'elegir', 'plato', '.'];[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]
['El', 'restaurants', 'comimos', 'muy', 'bien', 'y', 'ademas', 'un', 'servicio', 'encantador', 'y', 'eficiente', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['En', 'algunos', 'momentos', ',', 'nos', 'llegamos', 'a', 'preguntar', 'si', 'lo', 'que', 'teníamos', 'en', 'la', 'boca', 'era', 'carne', 'o', 'un', 'trozo', 'de', 'neumático', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1]
['La', 'calidad', 'de', 'la', 'comida', 'excelente', ',', 'el', 'servicio', 'super', 'amable', 'y', 'siempre', 'atento', '.'];[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['El', 'ambiente', 'muy', 'acogedor', '.'];[0, 1, 0, 0, 0];[-1, 1, -1, -1, -1]
['Una', 'experiencia', 'culinaria', 'inolvidable', '.'];[0, 1, 0, 0, 0];[-1, 1, -1, -1, -1]
['Comida', 'y', 'Servicio', 'estupendo'];[1, 0, 1, 0];[1, -1, -1, -1]
['ambiente', 'íntimo', 'y', 'tranquilo', ',', 'buen', 'trato', 'y', 'buena', 'calidad', 'en', 'las', 'carnes', '.'];[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0];[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Excelente', 'carta', ',', 'carnes', 'exquisitas', ',', 'especialidades', 'riquísimas', ',', 'ambiente', 'íntimo', 'y', 'servicio', 'atento', '.'];[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Buen', 'servicio', ',', 'ambiente', 'y', 'excelente', 'comida', '.'];[0, 1, 0, 1, 0, 0, 1, 0];[-1, 1, -1, -1, -1, -1, -1, -1]
['La', 'comida', 'muy', 'rica', ',', 'pero', 'el', 'local', 'extremadamente', 'ruidoso', '(', 'sobre', 'todo', 'el', 'piso', 'de', 'arriba', ').'];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Llegaba', 'un', 'momento', 'en', 'que', 'apetecía', 'irse', 'por', 'el', 'ruido', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]
['Poca', 'intimidad', '.'];[0, 1, 0];[-1, 0, -1]
['Local', 'casi', 'perfecto', ',', 'cocina', 'impecable', ',', 'cantidad', 'más', 'que', 'abundante', ',', 'extensa', 'carta', '(', 'comida', 'y', 'vinos', ')', 'y', 'precio', 'adecuado', 'a', 'lo', 'que', 'oferta', '.'];[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Como', 'salvedad', ',', 'diré', 'que', ',', 'a', 'excepción', 'del', 'jefe', 'de', 'sala', '(', 'o', 'propietario', ',', 'cosa', 'que', 'desconozco', '),', 'atento', ',', 'educado', 'y', 'detallista', ',', 'el', 'resto', 'del', 'servicio', ',', 'pinganillos', 'inalámbricos', 'incluidos', ',', 'no', 'está', 'a', 'la', 'altura', 'del', 'resto', ',', 'más', 'en', 'lo', 'que', 'respecta', 'a', 'educación', 'y', 'formas', 'que', 'a', 'la', 'capacidad', ':', 'habría', 'que', 'cuidar', 'aspectos', 'como', 'retirar', 'casi', 'a', 'la', 'carrera', 'platos', 'sin', 'terminar', ',', 'tutear', 'por', 'defecto', 'u', 'ofrecer', 'el', 'silencio', 'como', 'toda', 'respuesta', 'a', 'la', 'duda', 'del', 'comensal', 'en', 'la', 'elección', 'entre', 'dos', 'opciones', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Es', 'una', 'pena', 'que', 'inviertiendo', 'exitosamente', 'en', 'lo', 'complicado', '(', 'local', ',', 'materia', 'prima', ',', 'imagen', ',', 'sitio', 'web', ')', 'se', 'pase', 'por', 'alto', 'lo', 'básico', ':', 'un', 'par', 'de', 'camareros', 'díscolos', 'que', 'hagan', 'rebajar', 'la', 'nota', 'de', 'un', 'cliente', 'de', 'un', 'excelente', 'a', 'un', 'notable', 'alto', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Fue', 'una', 'cena', 'perfecta', ',', 'por', 'el', 'lugar', 'y', 'sobre', 'todo', 'por', 'la', 'comida', '.'];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]
['Tienen', 'una', 'carta', 'bastante', 'extensa', 'donde', 'cada', 'plato', 'parece', 'mejor', 'que', 'el', 'anterior', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Para', 'los', 'amantes', 'de', 'la', 'carne', 'no', 'dudéis', 'en', 'pedir', 'el', 'Solomillo', 'del', 'Chef', ',', 'exquisíto', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1, -1, -1]
['<->', 'Aunque', 'los', 'productos', 'sean', 'de', 'calidad', 'el', 'precio', 'es', 'elevado'];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1]
['Sólo', 'puedo', 'decir', 'cosas', 'buenas', 'de', 'este', 'restaurante', '.'];[0, 0, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, 1, -1]
['Las', 'gambas', 'fresquísimas', '.'];[0, 1, 0, 0];[-1, 1, -1, -1]
['Muy', 'agradable', 'y', 'con', 'unas', 'vistas', 'increíbles', '.'];[0, 0, 0, 0, 0, 1, 0, 0];[-1, -1, -1, -1, -1, 1, -1, -1]
['De', 'la', 'comida', 'no', 'tengo', 'nada', 'que', 'decir', ',', 'pero', 'las', 'mesas', 'se', 'tocan', ',', 'el', 'servicio', 'no', 'es', 'amable', ',', 'en', 'definitiva', 'muy', 'caro', 'para', 'lo', 'que', 'es', 'calida', 'precio', 'totalmente', 'desequilibrada', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];[-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['La', 'comida', 'muy', 'buena', '.'];[0, 1, 0, 0, 0];[-1, 1, -1, -1, -1]
['Lo', 'que', 'no', 'me', 'gusta', 'es', 'el', 'servicio', '.'];[0, 0, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, 0, -1]
['El', 'último', 'día', 'que', 'fuimos', 'pedimos', 'ostras', 'y', 'nos', 'sentaron', 'mal', ',', 'a', 'parte', 'de', 'que', 'el', 'camarero', 'que', 'nos', 'sirvió', 'servía', 'el', 'cava', 'chorreando', 'toda', 'la', 'mesa', '...', 'pasará', 'mucho', 'tiempo', 'hasta', 'q', 'vuelva', '...'];[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['La', 'única', 'sonrisa', 'que', 'vimos', 'entre', 'el', 'personal', 'fue', 'de', 'la', 'chica', 'que', 'nos', 'condujo', 'a', 'nuestra', 'mesa', '.'];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['A', 'partir', 'de', 'ahi', ',', 'caras', 'serias', '(', 'por', 'no', 'decir', 'de', 'mal', 'humor', '),', 'distraidas', ',', 'de', 'los', 'camareros', '...', 'que', 'a', 'veces', 'se', 'hacían', 'esperar', ',', 'y', 'otras', 'veces', 'se', 'abalanzaban', 'para', 'liquidar', 'la', 'mesa', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Cubiertos', 'mal', 'puestos', ',', 'sin', 'la', 'mas', 'mínima', 'delicadeza', '.'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Platos', 'mal', 'presentados', ',', 'sobrevolando', 'las', 'cabezas', 'de', 'los', 'comensales', '.'];[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['El', 'servicio', 'realmente', 'malo', '.'];[0, 1, 0, 0, 0];[-1, 0, -1, -1, -1]
['La', 'comida', 'decente', ',', 'aunque', 'en', 'relación', 'al', 'precio', 'no', 'estaba', 'a', 'la', 'altura', '.'];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Ya', 'no', 'es', 'lo', 'que', 'era', '...', 'Ramon', ',', 'ha', 'bajado', 'mucho', ',', 'el', 'servicio', ',', 'la', 'calidad', 'de', 'la', 'comida', ',', 'lo', 'unico', ',', 'la', 'terraza', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1]
['Sabado', 'pasado', ',', 'a', 'las', '13h', ',', 'poca', 'gente', ',', 'o', 'sea', ',', 'cocina', 'sin', 'agobios', ',', 'paella', ',', 'simplemente', 'lamentable', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1]
"['tal', 'vez', 'del', 'Lidl', ';', 'anchoas', '?']";[0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, 0, -1]
"['una', 'o', 'dos', 'pp', ';', 'de', 'segundo', 'bacalao', 'a', 'la', 'llauna', 'diminuto', 'con', '""', 'secas', '""', 'de', 'lata', '/', 'carne', 'con', 'patatas', 'fritas', 'fast', 'food', '.']";[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0];[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['en', 'fin', ',', 'lleno', 'de', 'turistas', 'que', 'vienen', 'una', 'sola', 'vez', '(', 'de', 'los', 'cruceros', '?)'];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
"['muy', 'defraudado', 'por', 'el', 'precio', 'y', 'la', 'calidad', ';', 'antes', 'no', 'eran', 'así', '!']";[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0];[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['El', 'servicio', 'fue', 'perfecto', '.'];[0, 1, 0, 0, 0];[-1, 1, -1, -1, -1]
['La', 'cocina', 'deliciosa', '.'];[0, 1, 0, 0];[-1, 1, -1, -1]
['Arroz', 'caldoso', 'lamentable', '(', 'para', 'guiris', ',', 'puede', 'estar', 'hasta', 'bueno', ')', 'y', 'caro', 'en', 'general', '.'];[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
['Lo', 'recomiendo', 'a', 'los', 'que', 'son', 'capaces', 'de', 'apreciar', 'y', 'valorar', 'el', 'placer', 'gastronómico', '.'];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1]
['Personalmente', 'este', 'restaurante', ',', 'ya', 'por', 'el', 'servicio', 'y', 'la', 'actitud', 'de', 'los', 'camareros', ',', 'del', 'maitrê', 'es', 'excelente', ',', 'creo', 'que', 'este', 'restaurante', 'se', 'merece', 'una', 'estrella', 'michelin', ',', 'ya', 'que', 'se', 'come', 'muy', 'bien', ',', 'son', 'unas', 'grandes', 'personas', '.'];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
