texto;aspecto;sentiment;review
Sólo puedo decir cosas buenas de este restaurante.;restaurante;1;cosas buenas de este restaurante.
Comimos muy bien y bien atendidos.;vacio;1;Comimos muy bien y bien atendidos.
Comimos muy bien y bien atendidos.;vacio;1;Comimos muy bien y bien atendidos.
Las gambas fresquísimas.;gambas;1;Las gambas fresquísimas.
Una maravilla como está decorado.;vacio;1;Una maravilla como está decorado.
Muy agradable y con unas vistas increíbles.;vacio;1;Muy agradable y con unas vistas increíbles.
Muy agradable y con unas vistas increíbles.;vistas;1;Muy agradable y con unas vistas increíbles.
De la comida no tengo nada que decir, pero las mesas se tocan, el servicio no es amable, en definitiva muy caro para lo que es calida precio totalmente desequilibrada.;mesas;0;decir, pero las mesas se tocan, el
De la comida no tengo nada que decir, pero las mesas se tocan, el servicio no es amable, en definitiva muy caro para lo que es calida precio totalmente desequilibrada.;servicio;0;no se tocan, el servicio es amable, en calida
De la comida no tengo nada que decir, pero las mesas se tocan, el servicio no es amable, en definitiva muy caro para lo que es calida precio totalmente desequilibrada.;precio;0;que es para lo calida precio totalmente desequilibrada.
La comida muy buena.;comida;1;La comida muy buena.
Lo que no me gusta es el servicio.;servicio;0;gusta es el servicio.
El último día que fuimos pedimos ostras y nos sentaron mal, a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...;camarero;0;que nos a de el camarero sirvió servía cava chorreando
El último día que fuimos pedimos ostras y nos sentaron mal, a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...;ostras;0;que fuimos pedimos ostras y nos sentaron
El último día que fuimos pedimos ostras y nos sentaron mal, a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...;vacio;0;El último día que fuimos pedimos ostras y nos sentaron mal, a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...
La única sonrisa que vimos entre el personal fue de la chica que nos condujo a nuestra mesa.;personal;0;que vimos entre el personal fue de la
A partir de ahi, caras serias (por no decir de mal humor), distraidas, de los camareros... que a veces se hacían esperar, y otras veces se abalanzaban para liquidar la mesa.;camareros;0;A de ahi, caras decir distraidas, los que a veces hacían abalanzaban
Cubiertos mal puestos, sin la mas mínima delicadeza.;Cubiertos;0;Cubiertos mal puestos, sin la delicadeza.
Platos mal presentados, sobrevolando las cabezas de los comensales.;Platos;0;Platos mal presentados, sobrevolando de
El servicio realmente malo.;servicio;0;El servicio realmente malo.
La comida decente, aunque en relación al precio no estaba a la altura.;comida;1;La comida decente, aunque en altura.
La comida decente, aunque en relación al precio no estaba a la altura.;comida;0;La comida decente, aunque en altura.
Lo siento, pero no lo recomiendo en tales condiciones.;vacio;0;Lo siento, pero no lo recomiendo en tales condiciones.
Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.;vacio;0;Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.
Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.;terraza;1;lo la unico, terraza.
Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.;comida;1;lo la calidad de comida, unico,
Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.;servicio;0;bajado mucho, el servicio, la calidad de unico,
Sabado pasado, a las 13h, poca gente, o sea,cocina sin agobios, paella,simplemente lamentable.;paella;0;o sin agobios, lamentable.
Es una pena,era de lo mejorcito de Barcelona;vacio;0;Es una pena,era de lo mejorcito de Barcelona
Cena de negocio a más de 50 € pp y de primeros: longaniza de vic?;vacio;0;Cena de negocio a más de 50 € pp y de primeros: longaniza de vic?
"tal vez del Lidl; anchoas?";anchoas;0;"tal vez del Lidl; anchoas?"
"una o dos pp; de segundo bacalao a la llauna diminuto con ""secas"" de lata / carne con patatas fritas fast food.";bacalao;0;"una pp; de segundo bacalao a la llauna"
"una o dos pp; de segundo bacalao a la llauna diminuto con ""secas"" de lata / carne con patatas fritas fast food.";carne;0;de con lata carne patatas fritas
"por el precio podrían haber sido ""peladas y fritas"", no?";vacio;0;"por el precio podrían haber sido ""peladas y fritas"", no?"
en fin, lleno de turistas que vienen una sola vez (de los cruceros?);turistas;0;en fin, lleno de turistas que vienen una
"muy defraudado por el precio y la calidad; antes no eran así!";precio;0;"muy defraudado por el precio y la calidad;"
"muy defraudado por el precio y la calidad; antes no eran así!";calidad;0;"por el precio y la calidad; antes no eran"
"muy defraudado por el precio y la calidad; antes no eran así!";vacio;0;"muy defraudado por el precio y la calidad; antes no eran así!"
El servicio fue perfecto.;servicio;1;El servicio fue perfecto.
La cocina deliciosa.;cocina;1;La cocina deliciosa.
A través de los años nunca me han defraudado es un valor seguro.;vacio;1;A través de los años nunca me han defraudado es un valor seguro.
La relación calidad precio también es buena alrededor de 50 € por persona pero para una cena perfecta no lo considero caro.;vacio;1;La relación calidad precio también es buena alrededor de 50 € por persona pero para una cena perfecta no lo considero caro.
Arroz caldoso lamentable (para guiris, puede estar hasta bueno) y caro en general.;Arroz;0;Arroz caldoso lamentable guiris, puede estar hasta bueno) caro en
Muy bueno, calidad, servicio que justifican su precio.;vacio;1;Muy bueno, calidad, servicio que justifican su precio.
Muy bueno, calidad, servicio que justifican su precio.;vacio;1;Muy bueno, calidad, servicio que justifican su precio.
Muy bueno, calidad, servicio que justifican su precio.;vacio;1;Muy bueno, calidad, servicio que justifican su precio.
Y de vulgar nada de nada, todo lo contrario.;vacio;1;Y de vulgar nada de nada, todo lo contrario.
Lo recomiendo a los que son capaces de apreciar y valorar el placer gastronómico.;placer;1;de apreciar y valorar el placer gastronómico.
Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitre es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.;camareros;1;ya y la actitud de los camareros, del maitre es
Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitre es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.;maitre;1;Personalmente restaurante, los camareros, del maitre es excelente, creo restaurante
Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitre es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.;restaurante;1;Personalmente este restaurante, ya por el actitud maitre es excelente, que restaurante se merece estrella personas.
Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitre es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.;restaurante;1;Personalmente este restaurante, ya por el actitud maitre es excelente, que restaurante se merece estrella personas.
Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitre es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.;personas;1;restaurante, que restaurante se merece estrella come son unas grandes personas.
El local es bonito y la situación inmejorable.;local;1;El local es bonito y situación
El local es bonito y la situación inmejorable.;situación;1;local es bonito y la situación inmejorable.
Sin embargo el precio es muy alto y con el tiempo ha ido subiendo de forma espectacular sin que mejore el producto.;vacio;0;Sin embargo el precio es muy alto y con el tiempo ha ido subiendo de forma espectacular sin que mejore el producto.
Yo no lo recomiendo.;vacio;0;Yo no lo recomiendo.
Caro.;vacio;0;Caro.
La comida siempre bien.;comida;1;La comida siempre bien.
Si te toca cerca de los ventanales vistas de lujo.;vistas;1;cerca de los ventanales vistas lujo.
Comida excelente asi como su el servicio de camarero.;Comida;1;Comida excelente asi como el servicio de
Comida excelente asi como su el servicio de camarero.;camarero;1;como su el servicio de camarero.
Un tanto caótica la recepción.;recepción;0;tanto caótica la recepción.
En cuanto a la carta, el tartar de lubina, supremo así como sus postres.;tartar;1;la carta, el tartar de lubina, supremo
En cuanto a la carta, el tartar de lubina, supremo así como sus postres.;postres;1;supremo así como sus postres.
Volveremos.;vacio;1;Volveremos.
gracias;vacio;1;gracias
Óptimo en la calidad del producto y su elaboración.;producto;1;en la calidad del producto y su elaboración.
Servicio excelente.;vacio;1;Servicio excelente.
Homogeneidad imbatible.;Homogeneidad;1;Homogeneidad imbatible.
No se puede pedir más.;vacio;1;No se puede pedir más.
He visitado este restaurante cada vez que viajo a Barcelona y siempre ha sido excelso.;vacio;1;He visitado este restaurante cada vez que viajo a Barcelona y siempre ha sido excelso.
No puedo más que recomendarlo ya que, sin duda, es uno de los valores más seguros de la Ciudad Condal.;vacio;1;No puedo más que recomendarlo ya que, sin duda, es uno de los valores más seguros de la Ciudad Condal.
Servicio impecable y se come de maravilla!;vacio;1;Servicio impecable y se come de maravilla!
Servicio impecable y se come de maravilla!;vacio;1;Servicio impecable y se come de maravilla!
Buen reestaurante, buena calidad en los platos.;reestaurante;1;Buen reestaurante, buena calidad en
Buen reestaurante, buena calidad en los platos.;platos;1;buena calidad en los platos.
El único defecto es que es muy ruidoso y en algunos lugares las mesas estan muy pegadas unas a otras y creo que por el precio que pagas  podrían tener las mesas mas separadas.;mesas;0;que muy y algunos lugares las mesas estan pegadas unas creo precio podrían tener separadas.
El único defecto es que es muy ruidoso y en algunos lugares las mesas estan muy pegadas unas a otras y creo que por el precio que pagas  podrían tener las mesas mas separadas.;vacio;0;El único defecto es que es muy ruidoso y en algunos lugares las mesas estan muy pegadas unas a otras y creo que por el precio que pagas  podrían tener las mesas mas separadas.
Buenisima la langosta a la plancha;langosta;1;Buenisima la langosta a plancha
Lugar perfecto.;Lugar;1;Lugar perfecto.
Comida digna y servicio excelente.;Comida;1;Comida digna y servicio
Comida digna y servicio excelente.;vacio;1;Comida digna y servicio excelente.
Para ir y repetir.;vacio;1;Para ir y repetir.
excelemte cocina y excelente servicio;cocina;1;excelemte cocina y excelente servicio
excelemte cocina y excelente servicio;servicio;1;cocina y excelente servicio
Es una pasada.;vacio;1;Es una pasada.
La atención y esmero del servicio y de su maitre son dignos de premio.;maitre;1;y del servicio de su maitre son dignos
La atención y esmero del servicio y de su maitre son dignos de premio.;servicio;1;y esmero del servicio de su maitre
Un valor seguro.;vacio;1;Un valor seguro.
Producto y cocina catalana y marinera de un muy buen nivel y servicio excelente.;Producto;1;Producto y cocina catalana de nivel
Producto y cocina catalana y marinera de un muy buen nivel y servicio excelente.;servicio;1;y de un buen nivel servicio excelente.
Un restaurante muy homogéneo y que nunca defraudará.;restaurante;1;Un restaurante muy homogéneo y defraudará.
Repito cada vez que puedo, con la familia o con la empresa.;vacio;1;Repito cada vez que puedo, con la familia o con la empresa.
La atención es exquisita y la comida (fideua,arroces y entrantes) de muy buena calidad.;atención;1;La atención es exquisita y comida calidad.
La atención es exquisita y la comida (fideua,arroces y entrantes) de muy buena calidad.;comida;1;atención es exquisita y la comida calidad.
El precio lo vale y el entorno más.;vacio;1;El precio lo vale y el entorno más.
El precio lo vale y el entorno más.;entorno;1;precio lo vale y el entorno más.
Muy recomendable.;vacio;1;Muy recomendable.
No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.;vacio;1;No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.
No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.;vacio;0;No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.
No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.;platos;1;calidad y los platos están bien cocinados elementos
Buen ambiente, servicio mediocre.;ambiente;1;Buen ambiente, servicio mediocre.
Buen ambiente, servicio mediocre.;servicio;0;Buen ambiente, servicio mediocre.
fuimos a cenar para un cumpleaños con amigos y fue fantastico, un buen trato  y la comida excelente, sobretodo el solomillo a los 3 quesos y la cabra caliente sobre pure de manzana...;vacio;1;fuimos a cenar para un cumpleaños con amigos y fue fantastico, un buen trato  y la comida excelente, sobretodo el solomillo a los 3 quesos y la cabra caliente sobre pure de manzana...
fuimos a cenar para un cumpleaños con amigos y fue fantastico, un buen trato  y la comida excelente, sobretodo el solomillo a los 3 quesos y la cabra caliente sobre pure de manzana...;trato;1;un y fue fantastico, buen trato la comida cabra
